"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1983","FN","1984","FN","1985","FN","1986","FN","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN","2017","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_BENFTS","SD","Proportion of population covered by at least one social protection floor/system","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.17","E, 27, 73","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_CHLD","SD","Proportion of children covered by social protection","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.86","E, 27, 73","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_DISAB","SD","Proportion of population with severe disabilities collecting disability social protection benefits","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.79","E, 27, 73","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_MATNL","SD","Proportion of mothers receiving maternity benefits and benefits for newborns","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.08","E, 27, 73","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.93","E, 27, 73","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_UEMP","SD","Proportion of unemployed receiving unemployment benefits","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.77","E, 27, 73","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_VULN","SD","Proportion of vulnerable population covered by social protection floors/systems","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.72","E, 27, 73","",""
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","18.60","E, 28, 75","18.50","E, 29, 75","18.20","E, 30, 75","17.80","E, 31, 75","17.20","E, 32, 75","16.60","E, 33, 75","16.10","E, 34, 75","15.70","E, 35, 75","15.30","E, 36, 75","15.00","E, 37, 75","14.90","E, 38, 75","15.00","E, 39, 75","15.10","E, 40, 75","15.00","E, 41, 75","14.70","E, 42, 75","14.30","E, 43, 75","13.70","E, 44, 75","13.00","E, 45, 75","12.50","E, 46, 75","12.10","E, 47, 75","11.80","E, 48, 75","11.40","E, 49, 75","11.20","E, 50, 75, 141","11.00","E, 51, 75, 141","10.80","E, 52, 75, 141","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.90","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.40","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.40","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMSN","+","Estimated number of population in moderate or severe food insecurity","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,791,330.10","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMSN","+","Estimated number of population in moderate or severe food insecurity","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,723,212.50","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMSN","+","Estimated number of population in moderate or severe food insecurity","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,757,271.30","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESS","+","Estimated prevalence of severe food insecurity in the population","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.10","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESS","+","Estimated prevalence of severe food insecurity in the population","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.80","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESS","+","Estimated prevalence of severe food insecurity in the population","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.40","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESSN","+","Estimated number of population in severe food insecurity","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","689,074.60","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESSN","+","Estimated number of population in severe food insecurity","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","643,935.00","E, 26, 76, 142","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESSN","+","Estimated number of population in severe food insecurity","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666,504.80","E, 26, 76, 142","","","",""
"2","2.2","2.2.1","C020201","Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age","SH_STA_STNT","SD","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","39.50","NA, 1, 77","","","","","","","","","35.70","NA, 6, 77","","","","","","","","","32.70","NA, 11, 77","","","","","","","","","29.50","NA, 16, 77","","","","","","","","","26.30","NA, 21, 77","25.70","NA, 22, 77","25.10","NA, 23, 77","24.50","NA, 24, 77","24.00","NA, 25, 77","23.40","NA, 26, 77","22.90","NA, 27, 77","",""
"2","2.2","2.2.1","C020201","Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age","SH_STA_STNT","SD","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","41.30","NA, 1, 77","","","","","","","","","37.40","NA, 6, 77","","","","","","","","","34.40","NA, 11, 77","","","","","","","","","31.20","NA, 16, 77","","","","","","","","","28.10","NA, 21, 77","27.50","NA, 22, 77","26.90","NA, 23, 77","26.30","NA, 24, 77","25.70","NA, 25, 77","25.20","NA, 26, 77","24.70","NA, 27, 77","",""
"2","2.2","2.2.1","C020201","Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age","SH_STA_STNT","SD","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","37.70","NA, 1, 77","","","","","","","","","34.10","NA, 6, 77","","","","","","","","","31.10","NA, 11, 77","","","","","","","","","27.80","NA, 16, 77","","","","","","","","","24.60","NA, 21, 77","24.00","NA, 22, 77","23.40","NA, 23, 77","22.80","NA, 24, 77","22.20","NA, 25, 77","21.70","NA, 26, 77","21.10","NA, 27, 77","",""
"2","2.2","2.2.1","C020201","Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age","SH_STA_STNTN","+","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Number","Millions","","","","","","","","","","","","","","","242.70","NA, 53, 77","","","","","","","","","213.20","NA, 54, 77","","","","","","","","","188.30","NA, 55, 77","","","","","","","","","172.30","NA, 56, 77","","","","","","","","","158.70","NA, 57, 77","156.20","NA, 58, 77","153.60","NA, 59, 77","150.90","NA, 60, 77","148.20","NA, 61, 77","145.40","NA, 62, 77","142.70","NA, 63, 77","",""
"2","2.2","2.2.1","C020201","Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age","SH_STA_STNTN","+","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Number","Millions","","","","","","","","","","","","","","","265.70","NA, 53, 77","","","","","","","","","234.20","NA, 54, 77","","","","","","","","","208.40","NA, 55, 77","","","","","","","","","193.00","NA, 56, 77","","","","","","","","","180.80","NA, 57, 77","178.70","NA, 58, 77","176.40","NA, 59, 77","174.00","NA, 60, 77","171.60","NA, 61, 77","169.20","NA, 62, 77","166.90","NA, 63, 77","",""
"2","2.2","2.2.1","C020201","Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age","SH_STA_STNTN","+","Number of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Number","Millions","","","","","","","","","","","","","","","254.20","NA, 53, 77","","","","","","","","","223.70","NA, 54, 77","","","","","","","","","198.40","NA, 55, 77","","","","","","","","","182.60","NA, 56, 77","","","","","","","","","169.80","NA, 57, 77","167.50","NA, 58, 77","165.00","NA, 59, 77","162.50","NA, 60, 77","159.90","NA, 61, 77","157.30","NA, 62, 77","154.80","NA, 63, 77","",""
"2","2.2","2.2.2","C020202","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","SH_STA_WAST","SD","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.70","NA, 63, 77","",""
"2","2.2","2.2.2","C020202","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","SH_STA_WAST","SD","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.60","NA, 63, 77","",""
"2","2.2","2.2.2","C020202","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","SH_STA_WAST","SD","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70","NA, 63, 77","",""
"2","2.2","2.2.2","C020202","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","SH_STA_WASTN","+","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Number","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.90","NA, 63, 77","",""
"2","2.2","2.2.2","C020202","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","SH_STA_WASTN","+","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Number","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.50","NA, 63, 77","",""
"2","2.2","2.2.2","C020202","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","SH_STA_WASTN","+","Number of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","","MDG_WORLD","World","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Number","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.70","NA, 63, 77","",""
